i,claim,scores,average,std_dev,skipped
297,German prosecutors should investigate NSA surveillance of Angela Merkel,"[5, 4, 4, 5, 5]",4.6,0.24,0
298,German unification has been a success,"[5, 5, 5, 5, 5]",5.0,0.0,0
299,Ghana’s ban on smoking in public places is a model for Africa,"[5, 5, 5, 5, 5]",5.0,0.0,0
300,Global Warming is not an issue,"[1, 1, 1, 1, 1]",1.0,0.0,0
301,Goal line technology has to be adopted in football,"[5, 5, 5, 5, 5]",5.0,0.0,0
302,Golf is a Sport,"[5, 5, 5, 4, 4]",4.6,0.24,0
303,Google is the extremely reliable source of information,"[3, 3, 3, 3, 3]",3.0,0.0,0
304,Google shouldn’t censor its search results in China,"[5, 5, 5, 5, 5]",5.0,0.0,0
305,Gorbachev Was Responsible for The Collapse Of The USSR,"[1, 5, 1, 1, 5]",2.6,3.84,0
306,Gorbachev was a key player in the fall of the Berlin Wall,"[5, 2, 4, 2, 5]",3.6,1.84,0
307,Government must be Big and Beefy,"[1, 1, 1, 1, 1]",1.0,0.0,0
308,Government should be required to obtain warrants to access data that can be used to track an individual,"[5, 5, 5, 5, 5]",5.0,0.0,0
309,Governments Should Actively Promote Multiculturalism,"[5, 5, 5, 4, 5]",4.8,0.16,0
310,Governments Should Pay Compensation For Terrorist Atrocities Carried Out By Their Citizens,"[5, 3, 5, 5, 4]",4.4,0.64,0
311,Governments Should Put Wealth Redistribution Ahead Of Wealth Creation,"[1, 1, 1, 1, 1]",1.0,0.0,0
312,Governments Should Try To Reduce The Gap Between Their Richest And Poorest Citizens,"[4, 5, 5, 5, 4]",4.6,0.24,0
313,Governments be allowed to disrupt Internet service on grounds of national security.,"[1, 2, 1, 1, 1]",1.2,0.16,0
314,Governments of resource-rich nations should impose high taxes on mining and extraction,"[5, 5, 5, 5, 5]",5.0,0.0,0
315,Governments should ban the media from reporting hostage-taking,"[1, 1, 1, 1, 1]",1.0,0.0,0
316,Governments should introduce a flat tax,"[5, 5, 5, 5, 2]",4.4,1.44,0
317,Governments should lower the voting age to 16,"[4, 4, 3, 4, 4]",3.8,0.16,0
318,Governments should prioritise spending money on youth,"[5, 5, 4, 5, 5]",4.8,0.16,0
319,Governments should spend their way out of the recession,"[1, 2, 1, 1, 1]",1.2,0.16,0
320,Grant politicians immunity from prosecution,"[1, 1, 1, 2, 1]",1.2,0.16,0
321,Grant the EU a permanent seat on the UN Security Council,"[5, 5, 5, 5, 5]",5.0,0.0,0
322,Greece should default on its debt and return to the Drachma,"[1, 1, 1, 1, 1]",1.0,0.0,0
323,"Guinea-Bissau should not let itself be turned in to a front of the US’ ""war on drugs""","[5, 4, 4, 5, 4]",4.4,0.24,0
324,HIV/AIDS: There Should Be Compulsory Testing and Labeling of People with HIV,"[1, 1, 1, 1, 1]",1.0,0.0,0
325,Hacking Can Be Justified,"[1, 1, 1, 1, 1]",1.0,0.0,0
326,Handguns must be banned in Washington D.C.,"[5, 5, 5, 5, 5]",5.0,0.0,0
327,Hate crime 'enhancements' are unjust,"[1, 1, 5, 2, 1]",2.0,2.4,0
328,Hate speech on campus has to censored,"[1, 3, 1, 1, 1]",1.4,0.64,0
329,Have no elections rather than sham elections,"[5, 5, 5, 5, 5]",5.0,0.0,0
330,Healthy eating should be made mandatory,"[1, 1, 1, 5, 1]",1.8,2.56,0
331,Heavy drinkers should be denied liver transplants,"[1, 1, 5, 1, 1]",1.8,2.56,0
332,High taxes are necessary for an effective state,"[5, 5, 5, 5, 5]",5.0,0.0,0
333,Hillary Clinton would make a better president for America,"[3, 3, 3, 3, 3]",3.0,0.0,0
334,Historical Artefacts Should Be Repatriated to Their Country of Origin,"[5, 5, 5, 5, 5]",5.0,0.0,0
335,History as a subject in school is needed,"[5, 5, 5, 5, 5]",5.0,0.0,0
336,History has no place in the classroom,"[1, 1, 1, 1, 1]",1.0,0.0,0
337,Hold students legally responsible for bullying if it resulted in the victim's death,"[5, 5, 5, 1, 5]",4.2,2.56,0
338,Home Schooling Should Be Banned,"[1, 3, 1, 1, 1]",1.4,0.64,0
339,Homework is a waste of time,"[2, 1, 1, 3, 1]",1.6,0.64,0
340,Homework is beneficial,"[5, 4, 4, 5, 5]",4.6,0.24,0
341,Homework should be banned.,"[1, 5, 5, 5, 5]",4.2,2.56,0
342,Homework should have a limit,"[2, 2, 5, 5, 5]",3.8,2.16,0
343,Homosexuals should be able to adopt,"[4, 4, 4, 4, 4]",4.0,0.0,0
344,Hosting the Olympic Games is beneficial,"[5, 5, 5, 5, 5]",5.0,0.0,0
345,Hosting the Olympics is a good investment,"[3, 2, 2, 1, 1]",1.8,0.56,0
346,Hosting the world cup is beneficial,"[5, 5, 5, 5, 5]",5.0,0.0,0
347,Housewives Are More Responsible Mothers Than Working Women,"[1, 1, 1, 1, 1]",1.0,0.0,0
348,Housewives should be paid for their work,"[5, 5, 5, 5, 5]",5.0,0.0,0
349,Human Cloning has to be banned,"[5, 5, 5, 1, 1]",3.4,3.84,0
350,Human activity is primarily responsible for global climate change,"[5, 5, 5, 5, 5]",5.0,0.0,0
351,Humans should eat meat,"[3, 3, 3, 4, 2]",3.0,0.4,0
352,I believe in manned space flight,"[5, 4, 4, 3, 5]",4.2,0.56,0
353,I believe in the Right to be forgotten,"[4, 3, 4, 4, 3]",3.6,0.24,0
354,ID cards and the National Identity Register should be scrapped,"[5, 5, 5, 5, 5]",5.0,0.0,0
355,Illegal downloaders should be cut off from the internet,"[1, 1, 2, 1, 1]",1.2,0.16,0
356,Illegal immigrants must be given drivers licenses,"[3, 2, 3, 1, 3]",2.4,0.64,0
357,Immunity for head of state is a good idea,"[5, 5, 5, 5, 5]",5.0,0.0,0
358,Implent the Virtual Doctor Project in Zambia,"[5, 5, 4, 3, 3]",4.0,0.8,0
359,Improving access to contraception will lower the number of teenage pregnancies,"[5, 5, 5, 5, 5]",5.0,0.0,0
360,"In Parliamentary Democracies, A Change Of Prime Minister Should Automatically Trigger A General Election.","[2, 1, 1, 1, 1]",1.2,0.16,0
361,In a democracy all votes should be equal.,"[5, 5, 5, 5, 5]",5.0,0.0,0
362,"In the conflict between Israel and Palestine, a two-state solution is better justified than a one-state solution","[4, 3, 4, 4, 5]",4.0,0.4,0
363,Increased taxes are good for America,"[3, 4, 3, 2, 5]",3.4,1.04,0
364,India should give up Kashmir,"[1, 1, 1, 1, 1]",1.0,0.0,0
365,India’s Ban on the Satanic Verses is justified,"[1, 1, 1, 1, 1]",1.0,0.0,0
366,Indiscriminate NSA surveillance of the rest of the world hurts the United States,"[1, 5, 2, 5, 5]",3.6,3.04,0
367,Individuals have a moral obligation to assist people in need,"[5, 5, 5, 5, 5]",5.0,0.0,0
368,Individuals should be able to legally bypass copyright protection technologies for fair use reasons.,"[4, 4, 4, 4, 4]",4.0,0.0,0
369,Individuals who have committed atrocities in the Syrian Civil War should be investigated by the ICC,"[5, 5, 5, 5, 5]",5.0,0.0,0
370,Inheritance tax should be raised to 100% for everyone born in the UK,"[1, 1, 1, 1, 1]",1.0,0.0,0
371,Instant Replay Should Be Used in Major League Baseball,"[5, 4, 4, 3, 4]",4.0,0.4,0
372,Institute a mandatory retirement age,"[1, 1, 2, 1, 1]",1.2,0.16,0
373,Intellectual property rights have to be abolished,"[1, 1, 1, 1, 1]",1.0,0.0,0
374,International students are charged unfairly high tuition fees at UK universities,"[5, 5, 5, 2, 2]",3.8,2.16,0
375,Internet access is a human right,"[5, 5, 5, 5, 5]",5.0,0.0,0
376,Internet service providers should be allowed to block access to extremist websites,"[2, 2, 2, 2, 2]",2.0,0.0,0
377,Introduce year round schooling,"[2, 5, 1, 5, 1]",2.8,3.36,0
378,Invest in Renewable Technologies rather than Nuclear Power,"[5, 5, 5, 5, 5]",5.0,0.0,0
379,Islamic State/Daesh is the most significant threat to the west,"[2, 2, 3, 2, 1]",2.0,0.4,0
380,Israel should recognise the Palestinian right of return,"[1, 1, 1, 1, 2]",1.2,0.16,0
381,Israel should return to its pre-1967 borders,"[2, 2, 2, 3, 2]",2.2,0.16,0
382,Israel's 2008-2009 military operations against Gaza were justified,"[1, 1, 3, 2, 1]",1.6,0.64,0
383,It does matter where you go to university or college,"[5, 5, 4, 4, 5]",4.6,0.24,0
384,It is a good idea to build the Keystone XL pipeline,"[2, 2, 2, 2, 2]",2.0,0.0,0
385,It is a good idea to have a system of  participatory democracy,"[5, 5, 4, 5, 5]",4.8,0.16,0
386,It is a good idea to lease Crimea to Russia,"[1, 1, 1, 1, 1]",1.0,0.0,0
387,It is appropriate to build a muslim community center (aka the ''Ground Zero Mosque'') near the World Trade Center site ,"[2, 4, 4, 4, 4]",3.6,0.64,0
388,It is be ok to use racial profiling as part of airport security checks,"[1, 1, 1, 1, 1]",1.0,0.0,0
389,It is crucial to explore the universe,"[5, 5, 5, 5, 5]",5.0,0.0,0
390,It is crucial to support the development of a missile defence system,"[5, 5, 5, 5, 5]",5.0,0.0,0
391,It is fine to do random drug-testing in schools,"[1, 5, 2, 2, 2]",2.4,1.84,0
392,It is fine to kill one to save many,"[1, 2, 1, 1, 1]",1.2,0.16,0
393,It is good to gossip,"[1, 1, 1, 1, 1]",1.0,0.0,0
394,It is important to use a graduated response to combat unauthorised file-sharing of copyrighted material,"[5, 4, 5, 5, 5]",4.8,0.16,0
395,It is important to use foreign aid funds to research and distribute software that allows bloggers and journalists in non-democratic countries to evade censorship and conceal their online activities.,"[5, 5, 5, 5, 5]",5.0,0.0,0
396,It is morally permissible for victims to use deadly force as a deliberate response to repeated domestic violence,"[4, 5, 5, 5, 5]",4.8,0.16,0
397,It is necessary to offer increased aid to developing world countries that encourage and accept large influxes of immigrants,"[1, 5, 1, 3, 3]",2.6,2.24,0
398,It is selfish to have more than two children,"[1, 2, 5, 1, 2]",2.2,2.16,0
399,It is sometimes right for the government to restrict freedom of speech,"[3, 2, 2, 3, 2]",2.4,0.24,0
400,It is time to stop buying bottled water,"[5, 5, 5, 5, 5]",5.0,0.0,0
401,It is worth voting,"[5, 5, 5, 5, 5]",5.0,0.0,0
402,It is wrong to tolerate unjust laws,"[5, 5, 5, 5, 5]",5.0,0.0,0
403,It makes sense to drive to an out of town to a shopping centre,"[2, 2, 2, 5, 2]",2.6,1.44,0
404,It should be allowed to have military recruitment in schools,"[2, 2, 1, 1, 2]",1.6,0.24,0
405,It should be allowed to patent genes,"[1, 1, 1, 1, 1]",1.0,0.0,0
406,It should be compulsory for all mothers to breastfeed for the first six months of their babies lives,"[5, 1, 5, 5, 5]",4.2,2.56,0
407,Jerusalem should be divided,"[1, 1, 2, 2, 1]",1.4,0.24,0
408,Job applicants should have to disclose their spent criminal convictions,"[5, 5, 1, 5, 3]",3.8,2.56,0
409,Joe Calzaghe deserves to be recognized as one of the greatest boxers of all time,"[5, 5, 5, 5, 5]",5.0,0.0,0
410,Julian Assange is a journalist,"[5, 4, 5, 4, 4]",4.4,0.24,0
411,Junk Food Should Be Banned,"[1, 1, 1, 1, 1]",1.0,0.0,0
412,Keep the Sabbath as a Day of Rest,"[5, 5, 5, 5, 5]",5.0,0.0,0
413,Kill One to Save Many,"[1, 1, 1, 1, 1]",1.0,0.0,0
414,Labels on food must be mandated to encourage people to eat better,"[5, 4, 5, 5, 5]",4.8,0.16,0
415,Lack of Parental Guidance Is Mainly Responsible for Children Being Violent and Aggressive in School,"[2, 2, 2, 3, 2]",2.2,0.16,0
416,Lady Macbeth is the real driving force behind King Duncan’s murder in Shakespeare’s Macbeth,"[4, 5, 5, 5, 5]",4.8,0.16,0
417,Language does control thought,"[1, 1, 1, 1, 2]",1.2,0.16,0
418,Launching a military coup against a democratic government can be justified,"[1, 1, 1, 1, 1]",1.0,0.0,0
419,Leaders of countries that use extra-territorial rendition should be tried for war crimes,"[5, 5, 5, 5, 5]",5.0,0.0,0
420,Leaving the EU would increase British security,"[1, 1, 1, 1, 1]",1.0,0.0,0
421,Legal empowerment is provided for women through land titling,"[5, 4, 5, 3, 3]",4.0,0.8,0
422,Legalize sex work in order to make controls more feasible and effective to combat HIV/AIDS,"[4, 4, 4, 4, 4]",4.0,0.0,0
423,Lesotho should be annexed by South Africa,"[1, 1, 1, 1, 1]",1.0,0.0,0
424,Less time outdoors is severely detrimental to the physical and emotional wellbeing of children,"[5, 5, 5, 5, 5]",5.0,0.0,0
425,Liberal democracies are better at providing people’s needs than non-democracies.,"[5, 4, 5, 5, 5]",4.8,0.16,0
426,Limit the free speech rights of corporations that are granted legal personhood,"[1, 1, 2, 1, 5]",2.0,2.4,0
427,Long term cooperation between Russia and the United States is possible.,"[3, 3, 3, 3, 3]",3.0,0.0,0
428,Lowering the federal corporate income tax rate does create jobs,"[2, 1, 2, 2, 2]",1.8,0.16,0
429,Macs are better than PCs,"[1, 1, 3, 3, 3]",2.2,0.96,0
430,Major league baseball should continue to allow collisions at home plate,"[2, 1, 2, 1, 1]",1.4,0.24,0
431,Make all museums free of charge,"[4, 5, 5, 5, 5]",4.8,0.16,0
432,Make lessons in a foreign language compulsory for school pupils,"[4, 5, 5, 5, 5]",4.8,0.16,0
433,Make sex education mandatory in schools,"[5, 5, 5, 5, 5]",5.0,0.0,0
434,Make the raising of business and labour standards a prerequisite for developmental aid,"[5, 5, 4, 5, 4]",4.6,0.24,0
435,Make-up is bad for us,"[1, 1, 1, 1, 1]",1.0,0.0,0
436,Male infant circumcision is tantamount to child abuse,"[1, 5, 1, 1, 1]",1.8,2.56,0
437,Man made climate change is a myth,"[1, 1, 1, 1, 1]",1.0,0.0,0
438,Mandatory sentencing is fine.,"[1, 2, 1, 1, 1]",1.2,0.16,0
439,Marriage is an outdated institution,"[1, 2, 3, 3, 3]",2.4,0.64,0
440,Maths should be a compulsory subject at GCSE,"[5, 5, 5, 5, 5]",5.0,0.0,0
441,Media reporting on violent crimes should be restricted,"[1, 1, 1, 1, 1]",1.0,0.0,0
442,Men are the key to family planning in Uganda,"[1, 1, 1, 1, 1]",1.0,0.0,0
443,Mexican culture was incurably damaged by the introduction of Christianity,"[1, 1, 1, 1, 1]",1.0,0.0,0
444,Military action to intervene during atrocities without United Nations Security Council approval can be legal,"[3, 1, 1, 1, 1]",1.4,0.64,0
445,"Mind Sports Such as Chess, Quizzing and Debating Should Be Olympic Sports","[5, 5, 4, 5, 5]",4.8,0.16,0
446,Minors Should Be Able to Obtain Abortions Without Parental Consent,"[4, 4, 5, 3, 2]",3.6,1.04,0
447,Mixed Martial Arts (UFC) is a form of human cockfighting,"[1, 1, 1, 1, 1]",1.0,0.0,0
448,Money Is the Root of All Evil,"[1, 1, 3, 1, 2]",1.6,0.64,0
449,Money undermines sport’s values,"[5, 1, 2, 2, 5]",3.0,2.8,0
450,More gun control laws should be enacted,"[2, 4, 5, 3, 5]",3.8,1.36,0
451,Mossad should carry out extrajudicial killings,"[1, 1, 1, 1, 1]",1.0,0.0,0
452,Most people are a little bit gay,"[1, 3, 1, 1, 2]",1.6,0.64,0
453,Music That Glorifies Crime Should Be Banned,"[1, 2, 2, 1, 2]",1.6,0.24,0
454,Music containing lyrics that glorify violent and criminal lifestyles should be banned,"[2, 2, 2, 2, 2]",2.0,0.0,0
455,Music should be free for all,"[5, 5, 5, 5, 5]",5.0,0.0,0
456,Music that glorifies violence against women should be banned,"[2, 2, 2, 5, 3]",2.8,1.36,0
457,NATO countries and the government of Afghanistan should negotiate a power-sharing deal with the Taliban,"[2, 3, 2, 4, 3]",2.8,0.56,0
458,NATO has succeeded in Afghanistan,"[1, 2, 1, 1, 1]",1.2,0.16,0
459,National service should be re-introduced,"[4, 4, 4, 3, 4]",3.8,0.16,0
460,Nations of the world should increase protection of the economic and social rights of migrants,"[5, 5, 4, 4, 5]",4.6,0.24,0
461,Neil Armstrong did actually walk on the Moon,"[5, 5, 5, 5, 5]",5.0,0.0,0
462,Neo-functionalism explains the integration of the European Union,"[5, 3, 3, 5, 5]",4.2,0.96,0
463,Net Neutrality – All Internet Traffic Should Be Treated Equally,"[5, 5, 5, 5, 5]",5.0,0.0,0
464,Net neutrality should be restored,"[5, 4, 5, 5, 4]",4.6,0.24,0
465,New York City has the right to regulate the size of sodas bought on the market,"[5, 5, 4, 4, 5]",4.6,0.24,0
466,New prisons need to be built to ease overcrowding,"[4, 5, 4, 3, 4]",4.0,0.4,0
467,News organisations should be free to exclude news of homosexuality where it causes offence to their viewers,"[1, 1, 1, 1, 1]",1.0,0.0,0
468,Newspapers Are a Thing of the Past,"[1, 2, 1, 2, 2]",1.6,0.24,0
469,Newspapers belong to the past,"[5, 5, 5, 5, 5]",5.0,0.0,0
470,Nollywood could be an effective instrument to change perceptions of Africa,"[5, 4, 5, 5, 4]",4.6,0.24,0
471,Nuclear technology must be adopted,"[5, 5, 5, 5, 5]",5.0,0.0,0
472,"Obese people, in countries with a national health service, should face higher taxes","[1, 1, 1, 1, 1]",1.0,0.0,0
473,Obesity is a disease,"[5, 5, 5, 5, 5]",5.0,0.0,0
474,Offshoring is a good idea,"[3, 3, 2, 2, 2]",2.4,0.24,0
475,Oil Companies Should Not Be Allowed To Drill Offshore,"[5, 5, 5, 5, 5]",5.0,0.0,0
476,Online Shopping Is Better Than Offline Shopping,"[5, 5, 5, 5, 5]",5.0,0.0,0
477,Online education does more good than harm,"[5, 4, 5, 5, 4]",4.6,0.24,0
478,Online gambling has to be banned,"[1, 1, 1, 1, 1]",1.0,0.0,0
479,Only buildings that are historically important should be preserved,"[1, 3, 2, 2, 2]",2.0,0.4,0
480,Open primaries are the most effective method of selecting candidates for elections,"[3, 3, 3, 3, 3]",3.0,0.0,0
481,Opinion polls harm the democratic process,"[5, 3, 1, 1, 1]",2.2,2.56,0
482,PHILOSOPHY – Utilitarianism isn’t as fair as it initially seems,"[2, 2, 2, 2, 2]",2.0,0.0,0
483,Paparazzi and press intrude too much into celebrities lives,"[5, 5, 5, 5, 4]",4.8,0.16,0
484,Parents have to be allowed to monitor their children's online and mobile communications,"[5, 5, 4, 4, 4]",4.4,0.24,0
485,Parents of obese children be prosecuted with neglect,"[1, 1, 1, 1, 1]",1.0,0.0,0
486,Parents or other adults should be able to ban books from schools and libraries.,"[1, 1, 1, 1, 2]",1.2,0.16,0
487,Parents should be able to choose the sex of their children,"[3, 2, 2, 2, 3]",2.4,0.24,0
488,Parents should be allowed to genetically screen foetuses for heritable diseases,"[5, 5, 5, 5, 5]",5.0,0.0,0
489,Parents should be held responsible for their school-going children's discipline problems,"[5, 5, 5, 5, 5]",5.0,0.0,0
490,Parents should have the right to do background checks on those looking after their children,"[5, 5, 5, 5, 5]",5.0,0.0,0
491,Parents should introduce children to alcohol (in moderation) at an early age,"[3, 3, 2, 3, 2]",2.6,0.24,0
492,Parents should not allow young people to live at home again after graduating,"[5, 5, 1, 1, 1]",2.6,3.84,0
493,Partial birth abortions should be banned,"[1, 2, 2, 1, 1]",1.4,0.24,0
494,Patents on life-saving drugs should be bypassed,"[5, 5, 5, 5, 5]",5.0,0.0,0
495,Pay state school teachers based on merit,"[2, 2, 1, 2, 2]",1.8,0.16,0
496,Penalise religious hate speech,"[5, 5, 5, 5, 5]",5.0,0.0,0
497,Pensions should be privatised,"[1, 1, 1, 1, 1]",1.0,0.0,0
498,People on job seekers allowance who refuse a job should lose their benefits,"[5, 5, 5, 1, 1]",3.4,3.84,0
499,People should be allowed to do what they want to their own bodies,"[5, 5, 5, 5, 5]",5.0,0.0,0
500,People should be allowed to sell their own organs,"[5, 2, 5, 5, 5]",4.4,1.44,0
501,People should become vegetarian,"[4, 5, 5, 5, 5]",4.8,0.16,0
502,People should have a right to private education,"[5, 4, 4, 3, 5]",4.2,0.56,0
503,People should have the right to die,"[5, 5, 5, 4, 4]",4.6,0.24,0
504,People should lose their jobs for saying the wrong thing,"[1, 1, 1, 1, 1]",1.0,0.0,0
505,Performing tests on animals must be banned,"[5, 1, 5, 5, 5]",4.2,2.56,0
506,Persistent Bullies Should be Expelled,"[1, 5, 5, 4, 5]",4.0,2.4,0
507,Personality is more important than ability,"[3, 1, 2, 5, 2]",2.6,1.84,0
508,Physical Chastisement of Children Should Be Illegal,"[5, 5, 5, 5, 5]",5.0,0.0,0
509,Physical Education In Schools Should Be Compulsory,"[5, 5, 5, 5, 5]",5.0,0.0,0
510,Place Cameras in Courtrooms to Televise Court Cases,"[1, 1, 5, 1, 1]",1.8,2.56,0
511,Plastic Bags should be banned,"[5, 5, 5, 5, 5]",5.0,0.0,0
512,Playoffs must be implemented in collegiate level american football,"[2, 5, 2, 5, 5]",3.8,2.16,0
513,Poetry should not be taught in schools,"[1, 1, 1, 1, 1]",1.0,0.0,0
514,Police Service Should Be Armed (UK),"[5, 2, 3, 4, 5]",3.8,1.36,0
515,Police body cameras should be allowed,"[5, 5, 5, 5, 5]",5.0,0.0,0
516,Polls are accurate predictors of election results,"[3, 2, 3, 3, 1]",2.4,0.64,0
517,Polygamous Marriage Should Be Recognised,"[4, 3, 2, 3, 4]",3.2,0.56,0
518,Poorer Countries Should Abandon Free Trade Agreements,"[1, 1, 1, 1, 1]",1.0,0.0,0
519,Positive Discrimination Towards Women in Society Is Justified,"[5, 5, 3, 5, 5]",4.6,0.64,0
520,Positive discrimination has to be used to increase diversity in university,"[5, 5, 5, 5, 5]",5.0,0.0,0
521,Positive discrimination must be used to put more women in parliament,"[5, 5, 5, 5, 5]",5.0,0.0,0
522,Post Office Should Be Privatized,"[1, 1, 1, 1, 1]",1.0,0.0,0
523,Post conflict peace cannot be sustained without impartial justice,"[5, 5, 5, 5, 5]",5.0,0.0,0
524,Poverty is the most important security issue facing Africa,"[5, 5, 2, 5, 5]",4.4,1.44,0
525,Power only has two dimensions,"[1, 1, 1, 1, 1]",1.0,0.0,0
526,Pre-nuptial agreements should not be recognised in divorce courts,"[1, 1, 1, 1, 1]",1.0,0.0,0
527,Prescription drugs are overpriced,"[5, 5, 5, 5, 5]",5.0,0.0,0
528,Prescription drugs should be advertised directly to consumers,"[1, 1, 1, 1, 1]",1.0,0.0,0
529,Prioritize eliminating the budget deficit over increasing domestic spending,"[5, 5, 5, 5, 5]",5.0,0.0,0
530,Prisoners Should Be Used For Medical Experiments Without Consent,"[1, 1, 1, 1, 1]",1.0,0.0,0
531,Privacy Online is Important,"[5, 5, 5, 5, 5]",5.0,0.0,0
532,Private universities in the UK must be encouraged,"[4, 3, 4, 5, 5]",4.2,0.56,0
533,Professional sportsmen must be required to represent their countries at the international level,"[1, 1, 2, 1, 1]",1.2,0.16,0
534,Prohibit retailers from selling certain items at a loss as a marketing device.,"[1, 1, 1, 1, 1]",1.0,0.0,0
535,Promote safe sex through education at schools,"[5, 5, 5, 5, 5]",5.0,0.0,0
536,Proportional representation is necessary.,"[4, 2, 5, 5, 3]",3.8,1.36,0
537,Prosecutions help the healing process,"[5, 5, 4, 3, 3]",4.0,0.8,0
538,Prostitution Should Be Legal,"[4, 3, 4, 2, 3]",3.2,0.56,0
539,Prostitution has to be legalised,"[3, 2, 3, 5, 3]",3.2,0.96,0
540,Prostitution should be legalised to protect sex workers from HIV/AIDS,"[4, 4, 4, 4, 4]",4.0,0.0,0
541,Protect braille out of respect for free speech,"[5, 5, 5, 5, 5]",5.0,0.0,0
542,Provide breakfast for all school students,"[4, 5, 5, 5, 5]",4.8,0.16,0
543,Provision of higher education must be funded by taxing graduates,"[1, 1, 1, 1, 1]",1.0,0.0,0
544,Public Transport Should Be Free,"[5, 5, 5, 5, 5]",5.0,0.0,0
545,Public health concerns justify compulsory immunization,"[5, 5, 5, 5, 5]",5.0,0.0,0
546,Public high school students in the United States ought not be required to pass standardized exit exams to graduate,"[2, 2, 2, 2, 2]",2.0,0.0,0
547,Puerto Rico should seek American statehood,"[5, 5, 5, 5, 4]",4.8,0.16,0
548,Put taxes/revenue from oil into a trust fund independent of politicians influence,"[5, 5, 5, 5, 5]",5.0,0.0,0
549,Quebec should secede from Canada,"[3, 3, 3, 3, 3]",3.0,0.0,0
550,Racial quotas must be set in South African rugby,"[5, 1, 1, 1, 5]",2.6,3.84,0
551,Rail travel is the best mode of transport for the future,"[5, 5, 5, 5, 5]",5.0,0.0,0
552,Rain Man is such a bad image of autism,"[2, 1, 1, 1, 1]",1.2,0.16,0
553,Raise The School Leaving Age To 18,"[4, 5, 4, 5, 5]",4.6,0.24,0
554,Raise the school leaving age to 18,"[5, 4, 5, 5, 4]",4.6,0.24,0
555,Reality TV has gone too far,"[2, 1, 2, 2, 2]",1.8,0.16,0
556,Reality TV shows are an important part of popular culture today.,"[3, 4, 4, 5, 5]",4.2,0.56,0
557,Receiving multiple vaccines are safe,"[5, 5, 5, 5, 5]",5.0,0.0,0
558,Recognise Kosovo as an independent state,"[5, 5, 5, 5, 5]",5.0,0.0,0
559,Recreational marijuana should be legal,"[4, 4, 4, 4, 4]",4.0,0.0,0
560,Refusing to stand for the National Anthem is an appropriate form of protest.,"[5, 2, 3, 2, 3]",3.0,1.2,0
561,Reheat tea in the microwave,"[1, 1, 1, 2, 1]",1.2,0.16,0
562,Religion In Itself Is A Purely Positive Force In The World,"[1, 2, 1, 1, 2]",1.4,0.24,0
563,Religion does more harm than good,"[1, 5, 1, 1, 1]",1.8,2.56,0
564,Religion is not necessary,"[5, 5, 3, 5, 5]",4.6,0.64,0
565,Religions Should Not Qualify as Charities,"[5, 1, 1, 1, 1]",1.8,2.56,0
566,Religious education Should be a part of the School curriculum,"[5, 5, 4, 4, 4]",4.4,0.24,0
567,Religious freedom abroad should be one of the primary foreign policy concerns for any country,"[5, 5, 4, 4, 5]",4.6,0.24,0
568,Religious symbols in public buildings must be banned,"[5, 2, 5, 2, 3]",3.4,1.84,0
569,Remotely Controlled Weapons Systems Should Not Be Used In Combat,"[1, 1, 1, 1, 1]",1.0,0.0,0
570,Remove Bush tax cuts for the wealthy,"[2, 5, 4, 5, 5]",4.2,1.36,0
571,Remove the requirement for Catholic Priests to take a vow of celibacy,"[2, 3, 4, 2, 2]",2.6,0.64,0
572,"Remove the words ""under God"" from the American Pledge of Allegiance","[2, 2, 2, 2, 1]",1.8,0.16,0
573,Replace aid with remittances,"[1, 3, 1, 1, 1]",1.4,0.64,0
574,Representative Democracy Is a Better Form of Government Than Direct Democracy,"[5, 5, 5, 5, 5]",5.0,0.0,0
575,Resources have a negative influence on foreign policy in the Middle East,"[1, 1, 1, 1, 1]",1.0,0.0,0
576,Restrict the right to Habeas Corpus as part of efforts to combat terrorism,"[1, 1, 2, 1, 1]",1.2,0.16,0
577,Restrictions must be imposed on overseas players in football,"[2, 2, 1, 1, 1]",1.4,0.24,0
578,Rich countries should actively recruit medical personnel from poorer countries,"[1, 1, 1, 1, 1]",1.0,0.0,0
579,Roger Federer Is Not the Greatest Tennis Player of All Time,"[1, 1, 1, 1, 1]",1.0,0.0,0
580,Romeo and Juliet do promote knife crime,"[1, 1, 1, 1, 1]",1.0,0.0,0
581,Romeo and Juliet is unsuccessful as a tragedy,"[1, 1, 1, 1, 1]",1.0,0.0,0
582,Rupert Murdoch is not a fit person to run an international media corporation,"[1, 1, 5, 5, 1]",2.6,3.84,0
583,Russia has the right to send troops into Crimea,"[1, 1, 1, 1, 1]",1.0,0.0,0
584,Russia is a land of democracy (not autocracy),"[2, 1, 1, 1, 1]",1.2,0.16,0
585,Russia needs strong leadership,"[5, 5, 5, 5, 5]",5.0,0.0,0
586,Sadomasochism must be decriminalized,"[3, 5, 5, 5, 5]",4.6,0.64,0
587,Same sex relationships should have the same legal status as heterosexual relationships under EU law,"[5, 5, 5, 5, 5]",5.0,0.0,0
588,Same-Sex Marriage Should Be Legal,"[5, 5, 5, 5, 5]",5.0,0.0,0
589,Sanctions should be used to promote democracy,"[5, 5, 5, 5, 5]",5.0,0.0,0
590,Sanctuary cities are beneficial,"[4, 2, 5, 4, 4]",3.8,0.96,0
